latitude,longitude,CLUSTER
-3.77366415003,-38.5800253,0
-3.83103240003,-38.5592983,4
-3.79961532891,-38.4941985622,12
-3.79893248303,-38.4739635741,-1
-3.75495425003,-38.5659384,3
-3.78991005003,-38.4735528,9
-3.75612315003,-38.5653049,3
-3.78524045003,-38.4962252,1
-3.76344812404,-38.5809171854,0
-3.75491535003,-38.5659729,3
-3.76344828686,-38.5809168389,0
-3.76344828686,-38.5809168389,0
-3.81808130003,-38.539375,21
-3.80721863832,-38.5777050093,18
-3.78518250038,-38.4961575443,1
-3.78792935003,-38.5058681,1
-3.80091217131,-38.4948174097,12
-3.78690325003,-38.4879263,1
-3.73721615003,-38.4951103,7
-3.75911315003,-38.6002166,26
-3.81371439776,-38.5956937652,11
-3.79956658373,-38.4942438483,12
-3.73142005003,-38.5461981,16
-3.83367560129,-38.5581686097,4
-3.81808130003,-38.539375,21
-3.78550630003,-38.498965,1
-3.81677717153,-38.6056128118,-1
-3.75924315003,-38.6001583,26
-3.78516532408,-38.4961655386,1
-3.78990150003,-38.4734286,9
-3.83367492396,-38.5581714696,4
-3.80084322505,-38.494879998,12
-3.72193325003,-38.5973157,8
-3.76345405158,-38.5809122863,0
-3.77467830003,-38.5639559,10
-3.79956115003,-38.4942447,12
-3.75496440003,-38.5659612,3
-3.74680825003,-38.5847735,0
-3.73465825003,-38.496668,7
-3.78690325003,-38.4879263,1
-3.76345385846,-38.5809123402,0
-3.87130809732,-38.4664034603,-1
-3.72881838008,-38.5972978709,14
-3.80084907802,-38.4949167054,12
-3.75619223669,-38.5652539379,3
-3.73406415003,-38.4960471,7
-3.76700157008,-38.5894574321,0
-3.79953705003,-38.4942317,12
-3.78690325003,-38.4879263,1
-3.75616415003,-38.5302696,-1
-3.83367398415,-38.5581718797,4
-3.77880815003,-38.5493533,15
-3.77880815003,-38.5493533,15
-3.77798525003,-38.5783922,0
-3.70848045003,-38.5696527,-1
-3.77880815003,-38.5493533,15
-3.85688726021,-38.5859130744,-1
-3.75613315003,-38.5652583,3
-3.75581540003,-38.588481,0
-3.75617030003,-38.5302574,-1
-3.75493945003,-38.5659369,3
-3.82654410003,-38.5204431,20
-3.83367779738,-38.5581754215,4
-3.79313845003,-38.5912189,-1
-3.73441445003,-38.4968879,7
-3.78516959578,-38.4961660994,1
-3.77798525003,-38.5783922,0
-3.81380106399,-38.5957111967,11
-3.75341830003,-38.5486548,2
-3.79952525003,-38.4942599,12
-3.76006430003,-38.5422955,5
-3.75494420003,-38.5659456,3
-3.78552630003,-38.49894,1
-3.75920743613,-38.6001891238,26
-3.75613235003,-38.5302064,-1
-3.85843365183,-38.4579419492,-1
-3.75341830003,-38.5486548,2
-3.82654963732,-38.5203861217,20
-3.74901888429,-38.5386885703,-1
-3.75495225003,-38.5659412,3
-3.79001320003,-38.4733864,9
-3.85843154,-38.457941366,-1
-3.72810100003,-38.4900038,-1
